epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.539,1.19537,0.91012,1.03229,0.83568,0.70974,0.80949,0.46816,1.42852,0.91839,1.17454,0.000666063,0.000666063,0.000666063
2,321.616,0.96013,0.61134,0.96906,0.85448,0.73512,0.83458,0.51005,1.3533,0.80199,1.12648,0.000892929,0.000892929,0.000892929
3,474.124,0.80835,0.51496,0.92826,0.85284,0.76242,0.85618,0.53384,1.28601,0.74375,1.08626,0.000679795,0.000679795,0.000679795
